_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1777630045.897246,3.264857530593872,1.1399999999999999e-07,12.92279052734375,13.020349502563477,100663296.0,148.0957754843357,22.036774228629167,7.390208562034915,wandb
10,1777630465.7910435,4.143004417419434,1.1399999999999999e-06,12.186076164245605,12.58765983581543,1006632960.0,354.07535391941695,52.686706347470796,17.668908539646964,wandb
20,1777630970.6011257,37.09210968017578,2.2799999999999998e-06,11.255186080932617,12.013626098632812,2013265920.0,355.51610246541424,52.90109092612966,17.740804123471328,wandb
30,1777631432.7068424,30.846275329589844,3.42e-06,9.657363891601562,10.95577621459961,3019898880.0,357.2377629319461,53.15727543156367,17.826717647196563,wandb
40,1777631951.4612553,6.02797269821167,4.5599999999999995e-06,8.701909065246582,10.467958450317383,4026531840.0,355.7311510924384,52.9330903402008,17.751535383019345,wandb
50,1777632779.1956587,2.8118672370910645,5.7e-06,8.18942642211914,9.838132858276367,5033164800.0,57.980156528226466,8.62749538246113,2.8932996083223546,wandb
60,1777633822.4399188,5.389185905456543,6.84e-06,7.815255165100098,10.038485527038574,6039797760.0,107.66129422974846,16.020089879970456,5.372465323972751,wandb
70,1777635425.5722222,1.706251621246338,7.98e-06,7.418858051300049,9.914665222167969,7046430720.0,258.457738686879,38.45872589179437,12.897441450448296,wandb
80,1777635931.7796764,3.2819182872772217,9.119999999999999e-06,7.134178638458252,8.764008522033691,8053063680.0,352.4205918785553,52.44047638326476,17.58633335097252,wandb
90,1777636404.6503842,2.5312421321868896,1.026e-05,6.919586181640625,8.515484809875488,9059696640.0,351.6806286064383,52.33036923461861,17.549408037665604,wandb
100,1777636870.623037,6.887425899505615,1.14e-05,6.711829662322998,9.047646522521973,10066329600.0,355.17176104471224,52.849852637118666,17.72362095327479,wandb
110,1777638652.5231552,5.8200907707214355,1.254e-05,6.5556182861328125,8.951559066772461,11072962560.0,354.3979455118964,52.73470824400211,17.685006359729847,wandb
120,1777639118.5997267,5.172796726226807,1.368e-05,6.387203216552734,8.081679344177246,12079595520.0,350.99289698109436,52.228034198335315,17.51508916442714,wandb
130,1777639650.0885725,3.008155107498169,1.4819999999999999e-05,6.2921366691589355,8.150320053100586,13086228480.0,354.14281185818385,52.69674414471162,17.672274795267835,wandb
140,1777640124.1154094,1.6965512037277222,1.596e-05,6.133498191833496,7.845345497131348,14092861440.0,303.2154830070021,45.11871537049213,15.130922211193761,wandb
150,1777640590.2200632,4.192391395568848,1.71e-05,6.073124885559082,8.008624076843262,15099494400.0,348.55178934186335,51.86479535686542,17.393274112530523,wandb
160,1777641053.9072511,1.8368725776672363,1.8239999999999998e-05,5.940753936767578,7.478317737579346,16106127360.0,335.80546197527946,49.96813127240396,16.75721263588839,wandb
