_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1776857595.1075978,1.171875,1.1399999999999999e-07,12.921467781066895,13.050470352172852,25165824.0,77.14036225073765,11.478549886211828,3.849423548507465,wandb
5,1776857757.5049114,1.03125,5.699999999999999e-07,12.92172908782959,13.011383056640625,125829120.0,199.57900570163878,29.69752158721434,9.959301485238326,wandb
10,1776857979.437306,1.0859375,1.1399999999999999e-06,12.919716835021973,13.063558578491211,251658240.0,180.82559110642342,26.90699794061409,9.023477052328621,wandb
15,1776858207.1268914,9.875,1.71e-06,12.915206909179688,13.171563148498535,377487360.0,189.12002690159986,28.141216866673172,9.4373822446293,wandb
20,1776858464.0763323,1.78125,2.2799999999999998e-06,12.904707908630371,13.00935173034668,503316480.0,163.05249741577848,24.26234685773129,8.13657215084245,wandb
25,1776858715.844141,3.765625,2.85e-06,12.889189720153809,13.210404396057129,629145600.0,167.0337603728211,24.85476208795798,8.33524333843457,wandb
30,1776858957.164285,1.6328125,3.42e-06,12.871101379394531,13.087879180908203,754974720.0,179.5778238266566,26.7213291344367,8.961211532571545,wandb
35,1776859196.6259785,1.140625,3.99e-06,12.845481872558594,12.998039245605469,880803840.0,160.11514801284054,23.82526683021904,7.989993866375611,wandb
40,1776859738.8645494,2.9375,4.5599999999999995e-06,12.80174446105957,13.033428192138672,1006632960.0,29.22708556056,4.349014573525175,1.4584768353221766,wandb
45,1776860241.7788084,0.8984375,5.13e-06,12.755536079406738,12.875584602355957,1132462080.0,33.704945636882684,5.015323866998252,1.681928988277981,wandb
50,1776860966.464322,3.1875,5.7e-06,12.707509994506836,12.915006637573242,1258291200.0,38.19707913126855,5.6837570569180755,1.9060934069012905,wandb
55,1776861369.703503,1,6.27e-06,12.653409004211426,12.85838508605957,1384120320.0,123.55830493361773,18.385578258322763,6.16575077880952,wandb
60,1776861699.8059497,0.98828125,6.84e-06,12.593900680541992,12.828950881958008,1509949440.0,136.01678328403202,20.23941017042469,6.787448143734671,wandb
65,1776861992.3551352,0.99609375,7.409999999999999e-06,12.535654067993164,12.83267593383789,1635778560.0,151.82846945137305,22.592202186970013,7.5764757720511335,wandb
70,1776862363.5305598,1.578125,7.98e-06,12.444009780883789,12.725196838378906,1761607680.0,60.757751409616326,9.040803804660237,3.031905894741935,wandb
75,1776862733.6487455,0.984375,8.55e-06,12.342155456542969,12.60978889465332,1887436800.0,114.70930339630048,17.06883948985412,5.724171897084706,wandb
80,1776863047.8308172,2.015625,9.119999999999999e-06,12.243391036987305,12.645015716552734,2013265920.0,142.13981312197976,21.150522088997185,7.092996815774832,wandb
85,1776863362.137936,1.40625,9.689999999999999e-06,12.150447845458984,12.553079605102539,2139095040.0,152.50218126388356,22.6924510634751,7.610095034915832,wandb
90,1776863658.8553183,4.15625,1.026e-05,12.051578521728516,12.76574993133545,2264924160.0,149.9074557458848,22.30635375422775,7.480614212950906,wandb
95,1776864162.069295,1.171875,1.083e-05,11.957975387573242,12.640617370605469,2390753280.0,89.9580827096732,13.385837322031495,4.489047651028978,wandb
100,1776864966.9997737,1.359375,1.14e-05,11.860179901123047,12.46091079711914,2516582400.0,81.82088768322677,12.175015952781225,4.082989016616728,wandb
105,1776865794.4152772,2.03125,1.1969999999999999e-05,11.758570671081543,12.312844276428223,2642411520.0,73.4809442744036,10.934025456065674,3.666812923914538,wandb
110,1776866189.6239433,1.84375,1.254e-05,11.651333808898926,12.270489692687988,2768240640.0,88.95572227960568,13.236685258639612,4.439028313149123,wandb
115,1776866522.3998709,1.515625,1.3109999999999998e-05,11.54370403289795,12.269339561462402,2894069760.0,179.31191265042654,26.681761330856297,8.947942153044076,wandb
120,1776866791.1593595,2,1.368e-05,11.43227481842041,12.108802795410156,3019898880.0,163.67591149767762,24.35511139020246,8.16768147905034,wandb
125,1776867052.1458297,2.09375,1.4249999999999999e-05,11.309331893920898,12.476200103759766,3145728000.0,160.35102240315476,23.86036513514145,8.001764363765993,wandb
130,1776867309.461938,2.34375,1.4819999999999999e-05,11.19192123413086,12.252528190612793,3271557120.0,209.2601791860494,31.138088231647174,10.442407035960832,wandb
135,1776867554.86888,2.765625,1.539e-05,11.061455726623535,12.16374397277832,3397386240.0,198.41622671521938,29.52449910957973,9.90127701294607,wandb
140,1776867778.5780087,3.453125,1.596e-05,10.858238220214844,12.056854248046875,3523215360.0,174.45084201821538,25.958429988816853,8.705367199846826,wandb
