_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1783422456.2754886,2.833008050918579,1.1399999999999999e-07,12.945427894592285,13.658313751220703,8388608.0,124.97928145168612,18.5970207428261,5.960583571418622,wandb
5,1783422889.969249,2.8975865840911865,5.699999999999999e-07,12.803165435791016,13.070941925048828,41943040.0,150.4149148154898,22.381864084691824,7.173674386119175,wandb
10,1783423398.0261424,3.4095911979675293,1.1399999999999999e-06,12.283869743347168,12.64406967163086,83886080.0,166.84200388927826,24.826228564156313,7.957124539793689,wandb
15,1783423920.7905471,5.640225410461426,1.71e-06,11.458211898803711,12.142679214477539,125829120.0,151.66987817090262,22.56860367289406,7.233526818235275,wandb
20,1783424416.3769581,55.08127975463867,2.2799999999999998e-06,12.667139053344727,13.833105087280273,167772160.0,162.191646826864,24.134251576076906,7.735337043614394,wandb
25,1783424930.3876925,37.5369873046875,2.85e-06,11.750483512878418,12.630109786987305,209715200.0,176.07516017055477,26.2001298771594,8.397477524730578,wandb
30,1783425424.6862383,14.229474067687988,3.42e-06,10.856996536254883,12.972800254821777,251658240.0,161.5957621008292,24.045583434592302,7.706917767497534,wandb
35,1783425955.7536697,27.63616943359375,3.99e-06,9.999445915222168,11.538362503051758,293601280.0,162.97329615168445,24.250561643941406,7.772615911519681,wandb
40,1783426495.3497272,14.2251558303833,4.5599999999999995e-06,9.502396583557129,10.65900993347168,335544320.0,148.52408640448198,22.100507248805144,7.083495913078572,wandb
45,1783427012.076214,5.112270832061768,5.13e-06,9.201662063598633,10.146934509277344,377487360.0,153.09002186295015,22.779922232194714,7.301257125703434,wandb
50,1783427553.6037476,3.584606170654297,5.7e-06,8.920353889465332,10.083324432373047,419430400.0,132.16221387360366,19.6658470450189,6.303156104172724,wandb
55,1783428069.9383273,3.8714661598205566,6.27e-06,8.709559440612793,10.00975513458252,461373440.0,152.83790709161116,22.7424073451054,7.2892331234312175,wandb
60,1783428570.593225,3.091974973678589,6.84e-06,8.369627952575684,9.169301986694336,503316480.0,167.2215371815918,24.88270343285266,7.975225459247647,wandb
65,1783429057.1218154,2.567140817642212,7.409999999999999e-06,8.168254852294922,9.576318740844727,545259520.0,166.8674894549618,24.83002083746877,7.958340012009221,wandb
70,1783429546.3720064,2.6372883319854736,7.98e-06,7.967991828918457,9.573150634765625,587202560.0,162.24496706137032,24.14218567119738,7.737880022819675,wandb
75,1783430049.0151203,2.161252498626709,8.55e-06,7.762922286987305,9.418282508850098,629145600.0,167.84074615572948,24.97484224180104,8.004757128782385,wandb
80,1783430570.9398642,2.128570556640625,9.119999999999999e-06,7.498434543609619,8.75271224975586,671088640.0,162.78263470639232,24.222191062739707,7.763522776519136,wandb
85,1783431084.7012308,3.586405038833618,9.689999999999999e-06,7.355772495269775,8.586568832397461,713031680.0,158.27268737875093,23.551107159655956,7.548431781941013,wandb
90,1783431620.9807749,2.97830867767334,1.026e-05,7.1615777015686035,9.457376480102539,754974720.0,160.22383978586808,23.841440256198844,7.641487261602192,wandb
