_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1777881179.468859,3.2695069313049316,1.1399999999999999e-07,12.959892272949219,13.12044906616211,50331648.0,28.329285726318826,4.215421213518995,1.4136752331137166,wandb
5,1777884087.250368,3.3036203384399414,5.699999999999999e-07,12.805349349975586,12.92459487915039,251658240.0,19.720880261400687,2.934483340183346,0.9841024680280903,wandb
10,1777886633.737304,4.119555950164795,1.1399999999999999e-06,12.231961250305176,12.571184158325195,503316480.0,33.530929877068154,4.989430177602219,1.6732453323539378,wandb
15,1777887828.9828207,6.368613243103027,1.71e-06,11.114411354064941,11.974170684814453,754974720.0,104.75895857909367,15.588219927839742,5.227634279972871,wandb
20,1777888254.5659027,35.92957305908203,2.2799999999999998e-06,11.431896209716797,12.332963943481445,1006632960.0,320.2012816597116,47.64621629871614,15.978539870952947,wandb
25,1777888494.5756764,11.872993469238281,2.85e-06,10.036443710327148,11.347051620483398,1258291200.0,341.8774198449197,50.87164363973116,17.060212737611597,wandb
30,1777888732.0684433,22.909799575805664,3.42e-06,9.602960586547852,10.60986328125,1509949440.0,366.34870141125384,54.51299063426147,18.28136758800514,wandb
35,1777888945.377418,7.000911712646484,3.99e-06,9.025876998901367,10.891246795654297,1761607680.0,411.85593322306346,61.28450447337709,20.55224893536481,wandb
40,1777889170.6090326,4.858471870422363,4.5599999999999995e-06,8.739457130432129,9.954036712646484,2013265920.0,370.560725435808,55.139743302736335,18.49155411026046,wandb
45,1777889371.622736,5.247032642364502,5.13e-06,8.482831954956055,9.856208801269531,2264924160.0,402.80214434145364,59.93729317821891,20.10045084799258,wandb
50,1777889580.2364898,5.840072154998779,5.7e-06,8.219597816467285,9.87089729309082,2516582400.0,420.4512482039071,62.56349447182469,20.981168465021046,wandb
55,1777889786.796983,3.9554316997528076,6.27e-06,8.018453598022461,9.798585891723633,2768240640.0,372.9868590374168,55.50075399498798,18.612621934488477,wandb
