_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1777604559.6978655,1.200491189956665,1.1399999999999999e-07,12.961017608642578,13.026864051818848,50331648.0,343.75687400971,3.845982443031267,1.2897809854130227,wandb
50,1777604807.1741614,2.594697952270508,5.7e-06,10.6432523727417,11.669149398803711,2516582400.0,3454.933907446256,38.654107465197576,12.962964224410031,wandb
100,1777605051.552821,1.0404123067855835,1.14e-05,8.277558326721191,9.598443984985352,5033164800.0,3682.5188992070443,41.200348569847264,13.816866552280725,wandb
150,1777605346.4992647,1.0185967683792114,1.71e-05,6.997859001159668,8.647769927978516,7549747200.0,3660.5949632200054,40.955061626477196,13.734607613189091,wandb
200,1777605665.3412569,1.0168893337249756,2.28e-05,6.3036909103393555,8.681236267089844,10066329600.0,2539.2450721089,28.409299432972617,9.527285878266593,wandb
250,1777605947.5754201,0.6309250593185425,2.28e-05,5.852060794830322,7.0788445472717285,12582912000.0,3720.337852863169,41.62347038288528,13.958763837838738,wandb
300,1777606179.2182026,0.7666139006614685,2.28e-05,5.577596664428711,8.402410507202148,15099494400.0,2579.3152790160493,28.857608467366425,9.677629900038642,wandb
350,1777606464.8678064,0.5987721681594849,2.28e-05,5.339583396911621,6.862373352050781,17616076800.0,3874.073762046981,43.34348139150205,14.535583292029093,wandb
400,1777606694.8484204,0.6331444978713989,2.28e-05,5.143468856811523,6.359720706939697,20132659200.0,3538.528690733796,39.58937332651037,13.27661311441287,wandb
450,1777606972.7893233,0.5766744613647461,2.28e-05,4.966348648071289,6.2845587730407715,22649241600.0,3624.757505713738,40.55410896838405,13.60014493112553,wandb
500,1777607213.5098813,0.5782659649848938,2.28e-05,4.820041656494141,5.9247846603393555,25165824000.0,3695.7508350137523,41.34838864307204,13.866512975360589,wandb
