_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1777175985.0619323,1.1796875,1.1399999999999999e-07,12.910154342651367,13.058748245239258,25165824.0,424.2928194847401,4.747025755175013,1.5919530697246216,wandb
20,1777176063.6653643,1.1796875,2.2799999999999998e-06,12.8740873336792,12.968141555786133,503316480.0,3685.6547833324043,41.23543312000866,13.828632436901941,wandb
40,1777176135.8142931,1.21875,4.5599999999999995e-06,12.622159957885742,12.837339401245117,1006632960.0,4641.8385482587,51.93330202172026,17.416248370737012,wandb
60,1777176208.9425213,1.53125,6.84e-06,12.074331283569336,12.5198335647583,1509949440.0,4714.773713776372,52.749307132508584,17.689902213801656,wandb
80,1777176280.0786812,2.921875,9.119999999999999e-06,10.59032154083252,11.838418960571289,2013265920.0,4487.518347894962,50.20675391147872,16.837236647211,wandb
100,1777176352.785053,2.078125,1.14e-05,9.700963020324707,10.904558181762695,2516582400.0,4704.075131568234,52.62961044438748,17.64976097170232,wandb
120,1777176458.4243464,1.4375,1.368e-05,9.217203140258789,10.413418769836426,3019898880.0,4630.454351609943,51.805934618333,17.373534692896918,wandb
140,1777176534.429454,1.078125,1.596e-05,8.75418758392334,9.844657897949219,3523215360.0,4139.149249372369,46.30916949088419,15.530150525735433,wandb
160,1777176619.415927,1.515625,1.8239999999999998e-05,8.290128707885742,9.143596649169922,4026531840.0,4193.60290221141,46.918401796074264,15.734461453976225,wandb
180,1777176699.8646512,1.6875,2.052e-05,7.94462776184082,9.052018165588379,4529848320.0,4693.5777640935385,52.512164964578446,17.610374690323194,wandb
200,1776865380.8787353,2.484375,2.28e-05,9.607643127441406,11.419771194458008,5033164800.0,221.7665210720604,2.481143537717812,0.8320713379301341,wandb
220,1776866418.5282116,3.15625,2.28e-05,9.231023788452148,11.60772705078125,5536481280.0,174.14621918339864,1.9483633699808065,0.6533992457063467,wandb
240,1776866909.7113442,1.3203125,2.28e-05,8.931859016418457,10.837594985961914,6039797760.0,584.6308073701755,6.540901406781403,2.193543622960153,wandb
260,1776867413.9224384,1.171875,2.28e-05,8.696632385253906,10.998537063598633,6543114240.0,431.9725235700951,4.832946966685437,1.6207674354923585,wandb
280,1776867748.2273405,1.0703125,2.28e-05,8.510409355163574,10.688753128051758,7046430720.0,390.4141865139503,4.367988599991092,1.4648399269157972,wandb
300,1776868427.4900742,1.0703125,2.28e-05,8.339160919189453,10.449914932250977,7549747200.0,22.324414468182006,0.2497675321924063,0.08376154040406827,wandb
320,1776874336.9976506,0.859375,2.28e-05,8.164122581481934,11.028707504272461,8053063680.0,231.02927273280986,2.5847760261270323,0.8668253221204257,wandb
340,1776875082.348776,0.765625,2.28e-05,7.998631000518799,10.127492904663086,8556380160.0,681.5293942704527,7.625011404716976,2.5571085851369926,wandb
360,1776875967.8689818,0.66796875,2.28e-05,7.8533453941345215,11.644174575805664,9059696640.0,568.4393998635551,6.359750501282223,2.1327932173449247,wandb
380,1776876171.7414432,0.66015625,2.28e-05,7.7107086181640625,10.150473594665527,9563013120.0,878.9556377673428,9.833833754728245,3.297854833826168,wandb
400,1776876627.0681322,0.63671875,2.28e-05,7.582483291625977,9.961784362792969,10066329600.0,239.22478456969515,2.676468140581812,0.8975750063657026,wandb
420,1776877141.0746293,0.59765625,2.28e-05,7.472911834716797,10.506468772888184,10569646080.0,554.7698424650175,6.206814278813262,2.0815048314401015,wandb
440,1776877364.2669928,0.58984375,2.28e-05,7.366459369659424,10.256275177001953,11072962560.0,939.0288845901024,10.505938576607942,3.52325056360532,wandb
460,1776877813.2616277,0.56640625,2.28e-05,7.279852867126465,9.253396987915039,11576279040.0,729.2097108350185,8.158463021979221,2.736005853331587,wandb
