1	7.26788
2	7.22250
3	7.14130
4	7.06760
5	6.97826
6	6.90300
7	6.81961
8	6.73284
9	6.64727
10	6.55658
11	6.46639
12	6.38616
13	6.31545
14	6.24748
15	6.18109
16	6.13155
17	6.07645
18	6.03125
19	5.98866
20	5.94469
21	5.90633
22	5.86330
23	5.83096
24	5.79520
25	5.76136
26	5.72835
27	5.69595
28	5.65635
29	5.61920
30	5.57628
31	5.53098
32	5.47870
33	5.41494
34	5.36425
35	5.30697
36	5.26099
37	5.21445
38	5.17587
39	5.13677
40	5.09763
41	5.06202
42	5.02817
43	5.00056
44	4.96203
45	4.93211
46	4.89670
47	4.85894
48	4.82217
49	4.77766
50	4.74223
51	4.70281
52	4.65058
53	4.59823
54	4.55546
55	4.50249
56	4.45041
57	4.40453
58	4.35841
59	4.31454
60	4.26703
61	4.22913
62	4.17953
63	4.14125
64	4.09682
65	4.05523
66	4.01926
67	3.97689
68	3.93473
69	3.89465
70	3.86614
71	3.83790
72	3.79367
73	3.76444
74	3.73266
75	3.70650
76	3.67459
77	3.64332
78	3.61437
79	3.58219
80	3.56314
81	3.53800
82	3.51668
83	3.49199
84	3.47318
85	3.45176
86	3.42982
87	3.41129
88	3.39392
89	3.37018
90	3.35848
91	3.33808
92	3.32080
93	3.30291
94	3.28791
95	3.27358
96	3.25923
97	3.24621
98	3.23158
99	3.21624
100	3.20134
101	3.19843
102	3.18254
103	3.17000
104	3.16089
105	3.14771
106	3.14070
107	3.13477
108	3.11677
109	3.11143
110	3.09846
111	3.08693
112	3.08269
113	3.07737
114	3.06395
115	3.05335
116	3.05196
117	3.03871
118	3.03079
119	3.02580
120	3.02356
121	3.01256
122	3.00423
123	2.99693
124	2.99362
125	2.98583
126	2.97902
127	2.96982
128	2.96263
129	2.95781
130	2.94958
131	2.94702
132	2.94123
133	2.94333
134	2.92724
135	2.92834
136	2.91947
137	2.91427
138	2.90586
139	2.90124
140	2.89367
141	2.89294
142	2.89022
143	2.88603
144	2.87703
145	2.87827
146	2.87198
147	2.86474
148	2.86472
149	2.85566
150	2.85904
151	2.85526
152	2.84576
153	2.83842
154	2.84250
155	2.84037
156	2.83293
157	2.83017
158	2.83684
159	2.81986
160	2.82258
161	2.82013
162	2.81560
163	2.80670
164	2.80453
165	2.80596
166	2.80358
167	2.80417
168	2.79535
169	2.79495
170	2.79438
171	2.79200
172	2.79038
173	2.78389
174	2.78040
175	2.77906
176	2.77630
177	2.77700
178	2.77330
179	2.76963
180	2.76813
181	2.76891
182	2.76585
183	2.76250
184	2.76221
185	2.75516
186	2.75713
187	2.74993
188	2.75436
189	2.75316
190	2.75451
191	2.75099
192	2.74776
193	2.74432
194	2.74822
195	2.74733
196	2.74327
197	2.73883
198	2.74185
199	2.73664
200	2.73484
201	2.73321
202	2.73296
203	2.72934
204	2.72321
205	2.73104
206	2.72612
207	2.72706
208	2.72364
209	2.72505
210	2.72487
211	2.72435
212	2.71483
213	2.71170
214	2.71668
215	2.70952
216	2.71098
217	2.71265
218	2.70385
219	2.70354
220	2.70348
221	2.70053
222	2.69686
223	2.70040
224	2.69898
225	2.69390
226	2.69395
227	2.70336
228	2.69456
229	2.69489
230	2.69738
231	2.69295
232	2.69822
233	2.69302
234	2.69152
235	2.68289
236	2.68046
237	2.68372
238	2.68451
239	2.68378
240	2.67740
241	2.68259
242	2.68580
243	2.67473
244	2.67658
245	2.67546
246	2.67407
247	2.67584
248	2.67985
249	2.68751
250	2.67565
251	2.67482
252	2.67603
253	2.67483
254	2.67370
255	2.67107
256	2.67399
257	2.66941
258	2.66866
259	2.66998
260	2.66572
261	2.66827
262	2.66801
263	2.66298
264	2.65867
265	2.66171
266	2.66005
267	2.65917
268	2.65573
269	2.66009
270	2.66140
271	2.66052
272	2.66137
273	2.65501
274	2.65933
275	2.65367
276	2.65433
277	2.65743
278	2.65229
279	2.65284
280	2.64960
281	2.65314
282	2.65349
283	2.64931
284	2.64900
285	2.65033
286	2.65198
287	2.64805
288	2.65139
289	2.65036
290	2.64849
291	2.64711
292	2.64487
293	2.64758
294	2.64638
295	2.65108
296	2.64054
297	2.64796
298	2.64938
299	2.64460
300	2.64506
301	2.64277
302	2.64158
303	2.64255
304	2.64282
305	2.64035
306	2.63544
307	2.63999
308	2.63959
309	2.63796
310	2.63604
311	2.63813
312	2.64298
313	2.63902
314	2.63882
315	2.63480
316	2.63608
317	2.64044
318	2.64056
319	2.64021
320	2.63971
321	2.63236
322	2.63611
323	2.63634
324	2.63229
325	2.62999
326	2.63097
327	2.63245
328	2.63122
329	2.63130
330	2.63629
331	2.62982
332	2.63255
333	2.62673
334	2.62964
335	2.62778
336	2.62861
337	2.62576
338	2.62539
339	2.62728
340	2.63016
341	2.62389
342	2.62979
343	2.62833
344	2.62573
345	2.61994
346	2.63007
347	2.62353
348	2.63124
349	2.62518
350	2.62862
351	2.62814
352	2.62493
353	2.62286
354	2.61750
355	2.62120
356	2.62645
357	2.62528
358	2.62307
359	2.62125
360	2.61903
361	2.61957
362	2.62207
363	2.61944
364	2.62036
365	2.62103
366	2.62408
367	2.61734
368	2.62299
369	2.62925
370	2.62237
371	2.61567
372	2.61877
373	2.62017
374	2.62123
375	2.61675
376	2.61247
377	2.61725
378	2.61889
379	2.62371
380	2.61608
381	2.61688
382	2.61974
383	2.61775
384	2.61753
385	2.61982
386	2.61416
387	2.61856
388	2.61683
389	2.61487
390	2.61562
391	2.61485
392	2.60979
393	2.61750
394	2.61580
395	2.61595
396	2.61785
397	2.60673
398	2.61366
399	2.61305
400	2.61979
401	2.60989
402	2.60803
403	2.61214
404	2.61064
405	2.60726
406	2.60895
407	2.61850
408	2.61187
409	2.61619
410	2.61168
411	2.61257
412	2.61177
413	2.61268
414	2.61140
415	2.60942
416	2.61169
417	2.60992
418	2.60727
419	2.61056
420	2.60931
421	2.60894
422	2.60727
423	2.60873
424	2.61026
425	2.61132
426	2.60992
427	2.60678
428	2.60476
429	2.60911
430	2.60781
431	2.60621
432	2.60848
433	2.61271
434	2.60697
435	2.61264
436	2.60633
437	2.60571
438	2.60647
439	2.60756
440	2.60987
441	2.60865
442	2.60569
443	2.60476
444	2.60597
